customer_id,first_name,last_name,email,phone,gender,date_of_birth,signup_date,state,city,membership_tier,preferred_channel,marketing_opt_in,referral_source,Age,Age_Group,Order_Count,Total_Revenue,Customer_Segment,Revenue_ZScore,Revenue_Outlier,Ticket_Count,Average_Satisfaction,Satisfaction_Missing
CUST002565,Karen,Castro,karen.castro168@gmail.com,784-499-9916x95359,F,1957-07-03,2026-05-28,FL,Jeffreybury,Silver,Online,no,Email Campaign,69.0,55+,8.0,13346.48,High-Value Customer,1.4158293626932503,No,2.0,4.0,0
CUST004275,Tonya,Webster,tonya.webster780@gmail.com,3985078721,M,1966-12-07,2022-12-23,Massachusetts,Michaelfurt,Silver,In-Store,no,Search Engine,59.0,55+,0.0,0.0,No Orders,-1.638621969177943,No,1.0,3.0,0
CUST003045,Alexis,Thomas,alexis.thomas522@gmail.com,5624741570,Other,1998-06-14,2022-07-10,Wisconsin,East Mark,Bronze,In-Store,Yes,TV Ad,28.0,25-34,3.0,8742.619999999999,Repeat Customer,0.36219826979471,No,1.0,5.0,0
CUST005168,Danielle,Goodman,danielle.goodman202@gmail.com,505.988.6915x03091,M,1975-08-30,,in,Ramosberg,Bronze,Online,Yes,Friend Referral,51.0,45-54,4.0,9395.18,Repeat Customer,0.5115419739868168,No,1.0,3.0,0
CUST003986,Daniel,Bowman,daniel.bowman295@yahoo.com,(988)305-0745x11524,F,1999-09-15,2023-07-05,Texas,Walkerside,Silver,Online,Yes,Unknown,26.0,25-34,5.0,6696.85,Repeat Customer,-0.1059929612416476,No,1.0,4.0,0
CUST004228,Jennifer,Snyder,,,Other,,,nc,Davisshire,Bronze,In-Store,Unknown,Unknown,,Unknown,6.0,17263.010000000002,High-Value Customer,2.31215935193487,No,0.0,,1
CUST002495,David,Holland,david.holland932@outlook.com,562.945.8846,M,2006-03-07,2023-09-04,California,East Richardberg,Silver,In-Store,Yes,Email Campaign,20.0,18-24,3.0,3676.19,Repeat Customer,-0.7972957586931135,No,2.0,3.0,0
CUST004379,Kimberly,Bentley,kimberly.bentley747@gmail.com,888.928.5578,M,1945-11-07,2021-12-07,Tennessee,New Denise,Silver,In-Store,No,Social Media,80.0,55+,3.0,3673.21,Repeat Customer,-0.7979777561163274,No,0.0,,1
CUST004964,Zachary,Brown,zachary.brown622@gmail.com,(829)259-3564,F,1953-11-29,,nj,Deborahburgh,Gold,Mobile App,Yes,TV Ad,72.0,55+,4.0,6616.879999999999,Repeat Customer,-0.1242947511525262,No,1.0,5.0,0
CUST004930,Courtney,Duke,courtney.duke523@yahoo.com,(904)664-4462,Other,1985-10-25,2024-09-15,New York,South Carlosland,Bronze,In-Store,No,TV Ad,40.0,35-44,5.0,7619.96,Repeat Customer,0.1052683277996288,No,1.0,4.0,0
CUST000542,Bethany,Miles,bethany.miles195@hotmail.com,910-672-7284x9824,F,1999-01-25,2021-05-22,mo,Knightstad,Gold,Mobile App,Yes,TV Ad,27.0,25-34,4.0,2117.87,Repeat Customer,-1.153930062230939,No,0.0,,1
CUST003259,Diana,Martin,diana.martin207@gmail.com,(703)358-1397,F,1942-04-05,2025-04-01,Wisconsin,North Jessica,Bronze,Mobile App,No,Search Engine,84.0,55+,3.0,4111.1900000000005,Repeat Customer,-0.6977424435595374,No,0.0,,1
CUST000335,Marisa,Roberts,marisa.roberts475@outlook.com,487.930.0244x7146,F,1975-01-06,2025-06-18,Ohio,Maryport,Gold,In-Store,Yes,Influencer,51.0,45-54,2.0,5458.450000000001,Repeat Customer,-0.3894109508081315,No,1.0,2.0,0
CUST004110,Theodore,Adams,theodore.adams330@hotmail.com,001-795-421-0460,F,1997-03-05,2021-04-16,WI,West Karentown,Bronze,In-Store,Yes,Influencer,29.0,25-34,7.0,7277.17,High-Value Customer,0.0268180268924138,No,2.0,2.5,0
CUST005839,Wayne,Wall,wayne.wall947@outlook.com,275.307.7279,F,1986-07-06,2021-12-21,Pennsylvania,Richtown,Gold,Online,yes,Social Media,40.0,35-44,3.0,7666.42,Repeat Customer,0.1159010795722861,No,2.0,4.5,0
CUST003310,Mary,Ryan,mary.ryan804@hotmail.com,393.326.3345x708,F,1958-04-29,2022-08-27,az,Markchester,Silver,Online,no,Influencer,68.0,55+,2.0,5724.16,Repeat Customer,-0.3286010396261949,No,1.0,5.0,0
CUST002981,Mary,Reid,mary.reid446@gmail.com,700-446-8797,F,1942-03-24,2022-05-08,Pennsylvania,North Donald,Silver,Mobile App,Unknown,Friend Referral,84.0,55+,6.0,7896.73,High-Value Customer,0.1686094106261111,No,0.0,,1
CUST003459,Lisa,Jackson,lisa.jackson308@gmail.com,483.520.9397x49800,M,1971-04-16,2021-12-28,Tennessee,Woodberg,Gold,In-Store,Yes,Email Campaign,55.0,55+,5.0,7297.280000000001,Repeat Customer,0.0314203652081294,No,1.0,4.0,0
CUST000632,Jennifer,Jones,jennifer.jones729@hotmail.com,(816)248-1980x7704,Other,1993-01-28,2024-08-22,WA,Camachofort,Bronze,In-Store,Unknown,Email Campaign,33.0,25-34,4.0,6127.32,Repeat Customer,-0.2363345694440053,No,0.0,,1
CUST000910,Heidi,James,heidi.james234@yahoo.com,898.486.3653,Other,1989-04-23,2022-09-19,il,South Christianton,Silver,In-Store,no,Email Campaign,37.0,35-44,5.0,10938.92,Repeat Customer,0.8648395250311997,No,2.0,5.0,0
CUST002599,Ryan,Davis,ryan.davis262@outlook.com,(442)837-2466x762,F,1966-08-13,2025-11-28,Arizona,East Paulbury,Bronze,Mobile App,Yes,Influencer,60.0,55+,0.0,0.0,No Orders,-1.638621969177943,No,4.0,3.6666666666666665,0
