customer_id,first_name,last_name,email,phone,gender,date_of_birth,signup_date,state,city,membership_tier,preferred_channel,marketing_opt_in,referral_source,Age,Age_Group,Order_Count,Total_Revenue,Customer_Segment,Revenue_ZScore,Revenue_Outlier,Ticket_Count,Average_Satisfaction
CUST002565,Karen,Castro,karen.castro168@gmail.com,784-499-9916x95359,F,1957-07-03,2026-05-28,FL,Jeffreybury,SILVER,Online,no,Email Campaign,69.0,55+,8.0,13346.48,High-Value Customer,1.4158293626932505,No,2.0,4.0
CUST004275,Tonya,Webster,tonya.webster780@gmail.com,3985078721,M,1966-12-07,2022-12-23,Massachusetts,Michaelfurt,SILVER,In-Store,no,Search Engine,59.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,1.0,3.0
CUST003045,Alexis,Thomas,alexis.thomas522@gmail.com,5624741570,Other,1998-06-14,2022-07-10,Wisconsin,East Mark,Bronze,In-Store,1,TV Ad,28.0,25-34,3.0,8742.619999999999,Repeat Customer,0.36219826979471,No,1.0,5.0
CUST005168,Danielle,Goodman,danielle.goodman202@gmail.com,505.988.6915x03091,M,1975-08-30,,in,Ramosberg,BRONZE,Online,Y,Friend Referral,51.0,45-54,4.0,9395.18,Repeat Customer,0.5115419739868168,No,1.0,3.0
CUST003986,Daniel,Bowman,daniel.bowman295@yahoo.com,(988)305-0745x11524,F,1999-09-15,2023-07-05,TX,Walkerside,SILVER,Online,Y,,26.0,25-34,5.0,6696.85,Repeat Customer,-0.10599296124164767,No,1.0,4.0
CUST004228,Jennifer,Snyder,,,Other,,,nc,Davisshire,BRONZE,In-Store,,,,Unknown,6.0,17263.010000000002,High-Value Customer,2.31215935193487,No,0.0,
CUST002495,David,Holland,david.holland932@outlook.com,562.945.8846,M,2006-03-07,2023-09-04,California,East Richardberg,SILVER,In-Store,Y,Email Campaign,20.0,18-24,3.0,3676.19,Repeat Customer,-0.7972957586931135,No,2.0,3.0
CUST004379,Kimberly,Bentley,kimberly.bentley747@gmail.com,888.928.5578,M,1945-11-07,2021-12-07,Tennessee,New Denise,silver,In-Store,N,Social Media,80.0,55+,3.0,3673.21,Repeat Customer,-0.7979777561163274,No,0.0,
CUST004964,Zachary,Brown,zachary.brown622@gmail.com,(829)259-3564,F,1953-11-29,,nj,Deborahburgh,GOLD,Mobile App,Y,TV Ad,72.0,55+,4.0,6616.879999999999,Repeat Customer,-0.12429475115252626,No,1.0,5.0
CUST004930,Courtney,Duke,courtney.duke523@yahoo.com,(904)664-4462,Other,1985-10-25,2024-09-15,New York,South Carlosland,bronze,In-Store,N,TV Ad,40.0,35-44,5.0,7619.96,Repeat Customer,0.10526832779962884,No,1.0,4.0
