customer_id,first_name,last_name,email,phone,gender,date_of_birth,signup_date,state,city,membership_tier,preferred_channel,marketing_opt_in,referral_source
CUST002565,Karen,Castro,karen.castro168@gmail.com,784-499-9916x95359,F,1957-07-03,2026-05-28,FL,Jeffreybury,SILVER,Online,no,Email Campaign
CUST004275,Tonya,Webster,tonya.webster780@gmail.com,3985078721,M,1966-12-07,2022-12-23,Massachusetts,Michaelfurt,SILVER,In-Store,no,Search Engine
CUST003045,Alexis,Thomas,alexis.thomas522@gmail.com,5624741570,Other,1998-06-14,2022-07-10,Wisconsin,East Mark,Bronze,In-Store,1,TV Ad
CUST005168,Danielle,Goodman,danielle.goodman202@gmail.com,505.988.6915x03091,M,1975-08-30,11/03/2022,in,Ramosberg,BRONZE,Online,Y,Friend Referral
CUST003986,Daniel,Bowman,daniel.bowman295@yahoo.com,(988)305-0745x11524,F,1999-09-15,2023-07-05,TX,Walkerside,SILVER,Online,Y,
CUST004228,Jennifer,Snyder,,,Other,,08/11/2022,nc,Davisshire,BRONZE,In-Store,,
CUST002495,David,Holland,david.holland932@outlook.com,562.945.8846,M,2006-03-07,2023-09-04,California,East Richardberg,SILVER,In-Store,Y,Email Campaign
CUST004379,Kimberly,Bentley,kimberly.bentley747@gmail.com,888.928.5578,M,1945-11-07,2021-12-07,Tennessee,New Denise,silver,In-Store,N,Social Media
CUST004964,Zachary,Brown,zachary.brown622@gmail.com,(829)259-3564,F,1953-11-29,11/12/2021,nj,Deborahburgh,GOLD,Mobile App,Y,TV Ad
CUST004930,Courtney,Duke,courtney.duke523@yahoo.com,(904)664-4462,Other,1985-10-25,2024-09-15,New York,South Carlosland,bronze,In-Store,N,TV Ad
CUST000542,Bethany,Miles,bethany.miles195@hotmail.com,910-672-7284x9824,F,1999-01-25,2021-05-22,mo,Knightstad,Gold,Mobile App,1,TV Ad
CUST003259,Diana,Martin,diana.martin207@gmail.com,(703)358-1397,F,1942-04-05,2025-04-01,Wisconsin,North Jessica,Bronze,Mobile App,N,Search Engine
CUST000335,Marisa,Roberts,marisa.roberts475@outlook.com,487.930.0244x7146,F,1975-01-06,2025-06-18,OH,Maryport,Gold,In-Store,Y,Influencer
CUST004110,Theodore,Adams,theodore.adams330@hotmail.com,001-795-421-0460,F,1997-03-05,2021-04-16,WI,West Karentown,BRONZE,In-Store,Y,Influencer
CUST005839,Wayne,Wall,wayne.wall947@outlook.com,275.307.7279,F,1986-07-06,2021-12-21,PA,Richtown,Gold,Online,yes,Social Media
CUST003310,Mary,Ryan,mary.ryan804@hotmail.com,393.326.3345x708,F,1958-04-29,2022-08-27,az,Markchester,silver,Online,no,Influencer
CUST002981,Mary,Reid,mary.reid446@gmail.com,700-446-8797,F,1942-03-24,2022-05-08,PA,North Donald,silver,Mobile App,,Friend Referral
CUST003459,Lisa,Jackson,lisa.jackson308@gmail.com,483.520.9397x49800,M,1971-04-16,2021-12-28,Tennessee,Woodberg,Gold,In-Store,Y,Email Campaign
CUST000632,Jennifer,Jones,jennifer.jones729@hotmail.com,(816)248-1980x7704,Other,1993-01-28,2024-08-22,WA,Camachofort,BRONZE,In-Store,,Email Campaign
CUST000910,Heidi,James,heidi.james234@yahoo.com,898.486.3653,Other,1989-04-23,2022-09-19,il,South Christianton,Silver,In-Store,no,Email Campaign
CUST002599,Ryan,Davis,ryan.davis262@outlook.com,(442)837-2466x762,F,1966-08-13,2025-11-28,Arizona,East Paulbury,Bronze,Mobile App,1,Influencer
CUST004322,Lori,Harris,lori.harris940@gmail.com,527.709.1760x24026,F,2005-08-06,2020-10-28,MO,South Deborah,GOLD,Mobile App,,Search Engine
CUST003144,Lance,Mitchell,lance.mitchell238@yahoo.com,496-721-3239,M,1948-07-30,2026-04-29,Michigan,Nicholasfurt,Silver,Online,Y,Friend Referral
CUST005159,  Caroline ,Cruz,caroline.cruz961@yahoo.com,586-575-6836x3331,M,1946-04-05,2024-09-15,IL,West Caleb,silver,In-Store,Y,Influencer
CUST002673,Mary,Edwards,mary.edwards688@hotmail.com,001-492-266-2247x76038,M,2008-05-31,2024-06-09,Florida,Hallport,SILVER,Online,yes,Influencer
CUST001482,Jeff,Rivera,jeff.rivera811@hotmail.com,(998)335-9667,F,1977-08-07,2024-12-17,Florida,Owenburgh,bronze,In-Store,0,Friend Referral
CUST004058,Kevin,Randall,kevin.randall168@hotmail.com,(651)910-8030x615,F,2006-04-28,2023-01-10,NY,Bobhaven,bronze,In-Store,no,
CUST003508,Dennis,Ellis,dennis.ellis859@hotmail.com,+1-716-411-8698x14218,M,1962-11-25,2024-08-08,MI,Jonathonborough,Silver,In-Store,no,Search Engine
CUST005623,Caroline,Tucker,caroline.tucker707@yahoo.com,+1-369-534-4536x105,M,1943-12-23,2021-01-19,CA,Nelsonchester,silver,Online,Y,Social Media
CUST000586,Angela,Clark,angela.clark628@gmail.com,957.882.4347,M,1953-02-21,2023-02-09,PA,Christinashire,Silver,Online,no,
CUST000206,Kelly,Thompson,kelly.thompson577@outlook.com,(406)248-4229x4057,Other,1988-06-17,2021-10-05,MO,Lake Willie,Silver,In-Store,0,TV Ad
CUST003418,Austin,Sellers,austin.sellers860@yahoo.com,3854111504,M,1946-04-10,2024-03-18,NY,Wilsonhaven,gold,Online,,
CUST003555,  Kyle ,Ortiz,kyle.ortiz454@gmail.com,259.709.5198x09599,Other,2010-08-15,2024-04-06,MI,Marymouth,silver,Mobile App,,Email Campaign
CUST005811,Julie,Sanchez,,,M,,2025-10-30,Indiana,Murphyfurt,bronze,Online,,
CUST004323,Kayla,Dunn,kayla.dunn15@gmail.com,001-810-906-2916,Other,1978-09-25,2024-02-11,Georgia,Matthewshire,bronze,In-Store,Y,
CUST000270,Diana,Cunningham,diana.cunningham307@hotmail.com,001-205-666-4742x3122,M,1951-09-27,2021-01-25,Arizona,East Lonnieberg,GOLD,In-Store,1,Email Campaign
CUST003146,Erika,Salas,erika.salas3@hotmail.com,+1-830-990-4581,F,1963-11-30,2021-02-10,GA,New Jeffreyhaven,silver,Mobile App,Y,Email Campaign
CUST002853,Tracy,Floyd,tracy.floyd350@hotmail.com,001-512-383-0062,Other,1948-06-15,09/18/2024,Florida,Lake Kelly,Silver,In-Store,yes,TV Ad
CUST000157,Kelly,Rosales,kelly.rosales141@yahoo.com,913.929.1212,M,2005-07-01,2022-12-17,Ohio,Louisview,Bronze,In-Store,,Social Media
CUST003791,Jade,Walker,jade.walker585@yahoo.com,(270)444-1482x243,F,1982-06-08,2021-02-12,FL,Lake Lisa,Gold,Mobile App,N,Search Engine
CUST002434,Larry,Huang,larry.huang516@outlook.com,001-716-622-2772x610,F,1944-01-13,2021-12-21,Indiana,Juliefurt,silver,Mobile App,N,Friend Referral
CUST005919,Daniel,Serrano,daniel.serrano187@yahoo.com,+1-352-719-7245x67106,F,1971-03-17,2025-11-13,MO,Brianville,SILVER,Online,yes,TV Ad
CUST001593,Joanne,Jarvis,joanne.jarvis41@outlook.com,971-506-2833x455,M,1991-03-29,2021-07-17,mi,Colebury,SILVER,Online,N,Friend Referral
CUST003912,John,Lewis,john.lewis871@yahoo.com,(628)250-6967x20647,F,1946-08-10,2021-09-30,Indiana,South Kevin,PLATINUM,Online,Y,Friend Referral
CUST001984,Jose,Holland,jose.holland167@yahoo.com,(798)539-3039,Other,1945-05-15,2022-08-23,GA,Cruzview,Bronze,In-Store,Y,Search Engine
CUST003824,Angela,Maxwell,angela.maxwell733@gmail.com,(431)985-8313,M,1964-12-22,2021-03-01,Missouri,Steeleburgh,Silver,Online,1,Walk-in
CUST000089,Joel,Snyder,joel.snyder668@hotmail.com,(891)314-6786,F,1965-12-09,2024-01-02,PA,Laraside,Gold,Online,yes,
CUST001842,Jennifer,Cruz,jennifer.cruz346@hotmail.com,(708)452-9645,F,2000-12-19,2023-06-21,PA,Williamsstad,BRONZE,In-Store,yes,Friend Referral
CUST005273,Curtis,Le,curtis.le264@outlook.com,,F,1952-07-03,2023-11-10,Massachusetts,Kristiborough,SILVER,In-Store,,
CUST005416,Peter,Martin,peter.martin646@hotmail.com,636-435-2776,F,1982-01-28,2023-02-02,WI,Kathleentown,gold,In-Store,,Social Media
CUST003569,Jessica,Weaver,jessica.weaver582@gmail.com,001-518-347-4400x054,F,1972-02-10,2021-01-21,Wisconsin,North Stephanie,BRONZE,Mobile App,0,Social Media
CUST002006,Joseph,Oneill,joseph.oneill355@outlook.com,(721)534-6164x61526,M,1997-03-07,2022-08-14,fl,Lake Carlfort,Bronze,In-Store,0,Walk-in
CUST001172,Christopher,Hopkins,christopher.hopkins310@yahoo.com,686-595-7240,F,1957-11-23,2026-02-12,IL,Gilbertchester,SILVER,Online,Y,Influencer
CUST004819,Joseph,Martin,joseph.martin454@hotmail.com,+1-370-877-2309x6694,Other,2004-01-13,2025-11-19,ILLINOIS,North Steven,SILVER,In-Store,Y,TV Ad
CUST005185,Angel,Brewer,angel.brewer928@yahoo.com,(800)349-6870x893,F,1957-07-01,2026-02-23,TX,New Pamelaport,SILVER,Online,Y,Influencer
CUST005675,Anthony,Charles,anthony.charles782@hotmail.com,597.692.7023x7295,F,1953-01-04,2026-04-22,nj,East Ronniemouth,SILVER,In-Store,1,Search Engine
CUST004453,Kimberly,Cole,kimberly.cole449@gmail.com,790-980-6342,Other,1954-06-07,2023-03-22,Washington,Michaelfurt,silver,Online,no,Email Campaign
CUST005006,Gary,Sullivan,gary.sullivan466@yahoo.com,934-871-7613,Other,2006-11-09,10/04/2022,VA,Rodriguezfurt,Silver,Online,0,Email Campaign
CUST001832,Shawn,Williams,,,Other,2008-05-13,2022-04-18,IN,Port Daniel,SILVER,Online,,
CUST002918,Stephen,Tate,stephen.tate465@hotmail.com,001-676-333-0994x791,M,1943-01-17,2021-01-15,FL,Emilyport,Silver,In-Store,no,
CUST001006,Fernando,Hansen,fernando.hansen108@gmail.com,001-723-832-8293x0202,M,2006-10-11,2023-02-17,Georgia,Howardmouth,bronze,Online,1,
CUST004974,Dawn,Myers,dawn.myers55@outlook.com,+1-607-336-5611x87407,F,1967-12-19,2023-12-23,Wisconsin,Alanside,GOLD,Online,,
CUST005228,Crystal,Gonzalez,crystal.gonzalez506@outlook.com,+1-312-493-0431x130,F,1970-10-17,2025-11-04,North Carolina,Christensenberg,Silver,Mobile App,N,TV Ad
CUST000594,Dawn,Cook,dawn.cook7@yahoo.com,001-531-226-9789,M,1997-05-09,2026-05-09,NY,New Garyfort,GOLD,Online,,Email Campaign
CUST005008,Cassandra,Myers,cassandra.myers261@gmail.com,001-888-583-4025x862,Other,1980-06-12,2021-01-27,CA,Lake Samantha,Bronze,In-Store,N,Search Engine
CUST002483,Matthew,Wood,matthew.wood352@gmail.com,001-236-984-1434x4622,F,2009-10-05,2024-06-17,GA,East Jeffrey,bronze,In-Store,1,Friend Referral
